Steps,Policy/Entropy,Policy/Extrinsic Value Estimate,Environment/Episode Length,Environment/Cumulative Reward,Policy/Extrinsic Reward,Is Training
10000,1.4189383,-0.00040209765,999.0,0.0,0.0,1.0
20000,1.4189383,0.015233837,999.0,-0.75,-0.75,1.0
30000,1.4183818,0.05402205,999.0,0.0,0.0,1.0
40000,1.4183009,0.06423604,999.0,-1.1578344106674194,-1.1578344106674194,1.0
50000,1.4184402,0.05797731,999.0,0.021993968221876357,0.021993968221876357,1.0
60000,1.418492,0.051526655,999.0,-0.3125,-0.3125,1.0
70000,1.4191211,0.018897297,999.0,-0.6875,-0.6875,1.0
80000,1.419428,0.0025096217,999.0,-2.0151485125223796,-2.0151485125223796,1.0
90000,1.4201318,0.03539136,999.0,-0.05555555555555555,-0.05555555555555555,1.0
100000,1.4206728,0.036170177,999.0,0.0,0.0,1.0
110000,1.4205554,0.027053233,999.0,0.0,0.0,1.0
120000,1.4204134,0.025290515,999.0,-1.3,-1.3,1.0
130000,1.4205793,-0.0015489359,999.0,-1.7777777777777777,-1.7777777777777777,1.0
140000,1.4208887,0.013442248,999.0,0.0,0.0,1.0
150000,1.4207506,0.012861926,999.0,0.0,0.0,1.0
160000,1.4203931,0.0158426,999.0,-0.03333333333333333,-0.03333333333333333,1.0
170000,1.4201951,0.02522316,999.0,0.0,0.0,1.0
180000,1.419319,0.009513627,999.0,0.0,0.0,1.0
190000,1.4193732,0.015973978,999.0,-0.0625,-0.0625,1.0
200000,1.420009,0.024403337,999.0,-0.06666666666666667,-0.06666666666666667,1.0
210000,1.420009,0.026245933,999.0,0.0,0.0,1.0
220000,1.4200538,0.025023505,999.0,0.0,0.0,1.0
230000,1.4200522,0.021277502,999.0,0.0,0.0,1.0
240000,1.420315,0.02881845,999.0,0.0,0.0,1.0
250000,1.4203504,0.015928265,999.0,-0.1111111111111111,-0.1111111111111111,1.0
260000,1.4198023,0.023506947,999.0,0.01799989491701126,0.01799989491701126,1.0
270000,1.4196428,0.023923393,999.0,0.0,0.0,1.0
280000,1.4183749,0.021521771,999.0,0.04606425364812215,0.04606425364812215,1.0
290000,1.4177786,0.015715532,999.0,0.00809843341509501,0.00809843341509501,1.0
300000,1.4168482,0.016354635,999.0,-0.25,-0.25,1.0
310000,1.4161505,0.019715576,999.0,0.020887788385152817,0.020887788385152817,1.0
320000,1.4160041,0.015307059,999.0,0.0,0.0,1.0
330000,1.4158651,0.012964183,999.0,-0.05555555555555555,-0.05555555555555555,1.0
340000,1.4159858,0.013301986,999.0,0.05000954121351242,0.05000954121351242,1.0
350000,1.416178,0.00914678,999.0,0.5055043548345566,0.5055043548345566,1.0
360000,1.4160016,0.009180856,999.0,0.1967791219552358,0.1967791219552358,1.0
370000,1.4155256,0.007501,999.0,0.4232973787519667,0.4232973787519667,1.0
380000,1.415437,0.009880915,999.0,0.34205853939056396,0.34205853939056396,1.0
390000,1.4150245,0.023252016,999.0,0.446793332695961,0.446793332695961,1.0
400000,1.4149561,0.019345082,999.0,0.6775922179222107,0.6775922179222107,1.0
410000,1.4139016,0.028412271,999.0,1.191181489990817,1.191181489990817,1.0
420000,1.4139016,0.020607224,999.0,0.865209175273776,0.865209175273776,1.0
430000,1.4119406,0.041239936,999.0,0.7688028747215867,0.7688028747215867,1.0
440000,1.4118901,0.041900396,999.0,2.359447103490432,2.359447103490432,1.0
450000,1.4101052,0.041695833,999.0,1.8833721429109573,1.8833721429109573,1.0
460000,1.4098493,0.045182496,999.0,3.146069689653814,3.146069689653814,1.0
470000,1.4071844,0.095155016,999.0,4.015860673971474,4.015860673971474,1.0
480000,1.4063948,0.0793597,999.0,4.418966549634933,4.418966549634933,1.0
490000,1.4036896,0.15437873,999.0,6.456181863115893,6.456181863115893,1.0
500000,1.4023463,0.15317285,999.0,3.9875928349792957,3.9875928349792957,1.0
510000,1.4013993,0.20645769,999.0,5.075189734809101,5.075189734809101,1.0
