Steps,Policy/Entropy,Policy/Extrinsic Value Estimate,Environment/Episode Length,Environment/Cumulative Reward,Policy/Extrinsic Reward,Is Training
10000,1.4189382,-0.0670212,999.0,0.0,0.0,1.0
20000,1.4189383,-0.029401308,999.0,0.0,0.0,1.0
30000,1.419901,0.0014122172,999.0,0.0,0.0,1.0
40000,1.4200433,0.018691259,999.0,-0.3888888888888889,-0.3888888888888889,1.0
50000,1.4199859,0.016634077,999.0,0.0,0.0,1.0
60000,1.4199619,0.0084002465,999.0,-0.6111111111111112,-0.6111111111111112,1.0
70000,1.4208988,0.024280984,999.0,-0.05555555555555555,-0.05555555555555555,1.0
80000,1.421395,0.013590408,999.0,-1.2777777777777777,-1.2777777777777777,1.0
90000,1.4226639,0.00919099,999.0,0.0,0.0,1.0
100000,1.4244386,0.011124732,999.0,0.0,0.0,1.0
110000,1.4244033,0.028066624,999.0,0.0,0.0,1.0
120000,1.4242667,0.012596516,999.0,0.0,0.0,1.0
130000,1.4241713,0.025090426,999.0,-1.3333333333333333,-1.3333333333333333,1.0
140000,1.4238535,0.012214771,999.0,0.0,0.0,1.0
150000,1.4238856,0.0067457887,999.0,0.0,0.0,1.0
160000,1.4241226,0.010593732,999.0,0.0,0.0,1.0
170000,1.4241226,0.018179296,999.0,0.0,0.0,1.0
180000,1.4236027,0.012257569,999.0,-1.0,-1.0,1.0
190000,1.42353,0.014718138,999.0,-0.3,-0.3,1.0
200000,1.423537,0.0071514114,999.0,0.0,0.0,1.0
210000,1.423544,0.003095473,999.0,-0.5,-0.5,1.0
220000,1.4240994,0.0046241623,999.0,-0.05555555555555555,-0.05555555555555555,1.0
230000,1.4244124,0.017939063,999.0,0.0,0.0,1.0
240000,1.4245598,0.016290748,999.0,0.0,0.0,1.0
250000,1.4246781,0.017577041,999.0,0.0,0.0,1.0
260000,1.4245583,0.022564013,999.0,-0.8888888888888888,-0.8888888888888888,1.0
270000,1.4243525,0.03496496,999.0,-0.029411764705882353,-0.029411764705882353,1.0
280000,1.4243388,0.031945188,999.0,0.0,0.0,1.0
290000,1.4242834,0.031049103,999.0,0.0,0.0,1.0
300000,1.4242516,0.033098586,999.0,0.0,0.0,1.0
310000,1.4238415,0.028103342,999.0,0.0,0.0,1.0
320000,1.4238414,0.04041467,999.0,0.0,0.0,1.0
330000,1.4230063,0.03390972,999.0,0.0,0.0,1.0
340000,1.42298,0.031681303,999.0,0.0,0.0,1.0
350000,1.4221085,0.02904882,999.0,0.0,0.0,1.0
360000,1.4219786,0.027980387,999.0,0.0,0.0,1.0
370000,1.420855,0.025192445,999.0,0.0,0.0,1.0
380000,1.4202074,0.021731293,999.0,0.0,0.0,1.0
390000,1.4196578,0.018802803,999.0,0.0,0.0,1.0
400000,1.4191474,0.019543644,999.0,0.0,0.0,1.0
410000,1.4188129,0.023287412,999.0,0.0,0.0,1.0
420000,1.418358,0.018161053,999.0,0.0,0.0,1.0
430000,1.4183496,0.021703811,999.0,0.0,0.0,1.0
440000,1.418337,0.019786332,999.0,0.0,0.0,1.0
450000,1.4183387,0.02130959,999.0,0.0,0.0,1.0
460000,1.4183248,0.01627008,999.0,0.0,0.0,1.0
470000,1.4183248,0.015561533,999.0,0.0,0.0,1.0
480000,1.4183502,0.010004024,999.0,0.0,0.0,1.0
490000,1.4183458,0.014703026,999.0,0.0,0.0,1.0
500000,1.4177979,0.013082394,999.0,0.0,0.0,1.0
510000,1.4177129,0.010042853,999.0,0.0,0.0,1.0
520000,1.4169053,0.009032529,999.0,-0.5,-0.5,1.0
530000,1.4166666,0.013943982,999.0,0.0,0.0,1.0
540000,1.4162818,0.010787115,999.0,0.0,0.0,1.0
550000,1.4159505,0.009670474,999.0,0.0,0.0,1.0
560000,1.4157645,0.00931335,999.0,0.0,0.0,1.0
570000,1.4154899,0.0064935,999.0,0.0,0.0,1.0
580000,1.4154494,0.00708709,999.0,0.0,0.0,1.0
590000,1.4153525,0.006869753,999.0,0.0,0.0,1.0
600000,1.4150995,0.0065238844,999.0,0.0,0.0,1.0
610000,1.4140892,0.0060484,999.0,0.0,0.0,1.0
620000,1.4140892,0.0063323886,999.0,0.0,0.0,1.0
630000,1.4137335,0.004518992,999.0,0.0,0.0,1.0
640000,1.4137312,0.0038813993,999.0,0.0,0.0,1.0
650000,1.4141319,0.003121967,999.0,0.0,0.0,1.0
660000,1.4141939,0.0031275502,999.0,0.0,0.0,1.0
670000,1.4132001,0.002476623,999.0,0.0,0.0,1.0
680000,1.4128608,0.0033089344,999.0,0.0,0.0,1.0
690000,1.4119526,0.002839687,999.0,0.0,0.0,1.0
700000,1.4114836,0.002218661,999.0,0.0,0.0,1.0
710000,1.4104139,0.0034115766,999.0,0.0,0.0,1.0
720000,1.4092655,0.00469065,999.0,0.0,0.0,1.0
730000,1.4088532,0.0006302154,999.0,0.0,0.0,1.0
740000,1.4078923,0.0036104594,999.0,0.0,0.0,1.0
750000,1.407736,0.002727466,999.0,0.0,0.0,1.0
760000,1.4071153,0.003000883,999.0,0.0,0.0,1.0
770000,1.406989,0.002854776,999.0,0.0,0.0,1.0
780000,1.4056364,0.0027875896,999.0,0.0,0.0,1.0
790000,1.4056364,0.0014214317,999.0,0.0,0.0,1.0
